State,Year,Month,Day,Rainfall (mm)
Johor,2014,1,1,6.98
Johor,2014,1,2,17.46
Johor,2014,1,3,6.65
Johor,2014,1,4,8.57
Johor,2014,1,5,7.29
Johor,2014,1,6,4.48
Johor,2014,1,7,20.61
Johor,2014,1,8,5.17
Johor,2014,1,9,0.52
Johor,2014,1,10,7.83
Johor,2014,1,11,12.89
Johor,2014,1,12,0.64
Johor,2014,1,13,10.10
Johor,2014,1,14,31.19
Johor,2014,1,15,9.53
Johor,2014,1,16,20.11
Johor,2014,1,17,13.82
Johor,2014,1,18,15.25
Johor,2014,1,19,61.06
Johor,2014,1,20,26.73
Johor,2014,1,21,12.39
Johor,2014,1,22,23.95
Johor,2014,1,23,12.59
Johor,2014,1,24,15.09
Johor,2014,1,25,25.97
Johor,2014,1,26,14.73
Johor,2014,1,27,12.23
Johor,2014,1,28,48.46
Johor,2014,1,29,28.63
Johor,2014,1,30,8.40
Johor,2014,1,31,12.31
Johor,2014,2,1,4.40
Johor,2014,2,2,0.83
Johor,2014,2,3,1.32
Johor,2014,2,4,0.08
Johor,2014,2,5,0.12
Johor,2014,2,6,0.21
Johor,2014,2,7,3.01
Johor,2014,2,8,2.56
Johor,2014,2,9,1.25
Johor,2014,2,10,4.45
Johor,2014,2,11,0.22
Johor,2014,2,12,0.74
Johor,2014,2,13,0.95
Johor,2014,2,14,4.38
Johor,2014,2,15,1.66
Johor,2014,2,16,0.46
Johor,2014,2,17,0.56
Johor,2014,2,18,2.48
Johor,2014,2,19,7.48
Johor,2014,2,20,1.65
Johor,2014,2,21,0.14
Johor,2014,2,22,0.00
Johor,2014,2,23,1.32
Johor,2014,2,24,0.95
Johor,2014,2,25,1.66
Johor,2014,2,26,4.07
Johor,2014,2,27,5.84
Johor,2014,2,28,1.83
Johor,2014,3,1,0.76
Johor,2014,3,2,0.46
Johor,2014,3,3,0.39
Johor,2014,3,4,1.65
Johor,2014,3,5,4.50
Johor,2014,3,6,6.66
Johor,2014,3,7,10.43
Johor,2014,3,8,6.23
Johor,2014,3,9,0.78
Johor,2014,3,10,0.40
Johor,2014,3,11,0.18
Johor,2014,3,12,0.30
Johor,2014,3,13,0.89
Johor,2014,3,14,2.12
Johor,2014,3,15,0.03
Johor,2014,3,16,5.44
Johor,2014,3,17,0.62
Johor,2014,3,18,0.60
Johor,2014,3,19,4.42
Johor,2014,3,20,3.16
Johor,2014,3,21,1.44
Johor,2014,3,22,13.06
Johor,2014,3,23,22.74
Johor,2014,3,24,12.41
Johor,2014,3,25,2.56
Johor,2014,3,26,8.49
Johor,2014,3,27,5.32
Johor,2014,3,28,7.48
Johor,2014,3,29,7.17
Johor,2014,3,30,6.01
Johor,2014,3,31,10.70
Johor,2014,4,1,43.95
Johor,2014,4,2,2.22
Johor,2014,4,3,5.40
Johor,2014,4,4,3.84
Johor,2014,4,5,13.19
Johor,2014,4,6,0.08
Johor,2014,4,7,0.12
Johor,2014,4,8,0.11
Johor,2014,4,9,1.56
Johor,2014,4,10,3.43
Johor,2014,4,11,3.46
Johor,2014,4,12,1.77
Johor,2014,4,13,0.52
Johor,2014,4,14,0.21
Johor,2014,4,15,1.37
Johor,2014,4,16,7.98
Johor,2014,4,17,1.00
Johor,2014,4,18,2.70
Johor,2014,4,19,24.05
Johor,2014,4,20,34.10
Johor,2014,4,21,18.58
Johor,2014,4,22,8.14
Johor,2014,4,23,2.21
Johor,2014,4,24,0.13
Johor,2014,4,25,0.47
Johor,2014,4,26,1.77
Johor,2014,4,27,0.77
Johor,2014,4,28,0.23
Johor,2014,4,29,0.24
Johor,2014,4,30,0.56
Johor,2014,5,1,2.75
Johor,2014,5,2,1.51
Johor,2014,5,3,0.00
Johor,2014,5,4,0.00
Johor,2014,5,5,2.40
Johor,2014,5,6,11.99
Johor,2014,5,7,12.86
Johor,2014,5,8,5.56
Johor,2014,5,9,6.62
Johor,2014,5,10,2.13
Johor,2014,5,11,6.34
Johor,2014,5,12,0.00
